,ᄒ,ᄀ,ᄁ,ᄂ,ᄃ,ᄄ,ᄅ,ᄆ,ᄇ,ᄈ,ᄉ,ᄊ,ᄌ,ᄍ,ᄎ,ᄏ,ᄐ,ᄑ,ᄋ
ᇂ,./ᄒ,"ᆮ,./ᄀ,ᄏ","ᆮ,./ᄁ","ᆫ,ᆮ/ᄂ","ᆮ,./ᄃ,ᄐ","ᆮ,./ᄐ,ᄄ","ᆮ,./ᄅ","ㄷ,ㅁ,./ᄆ","ᆮ,./ᄇ,ᄑ","ᆮ,./ᄈ","ᆮ,./ᄊ,ᄉ","ᆮ,./ᄊ","ᆮ,./ᄌ,ᄎ,ᄍ","ᆮ,./ᄍ","ᆮ,./ᄎ","ᆮ,./ᄏ","ᆮ,./ᄐ","ᆮ,./ᄑ",./ᄋ
ᆨ,"ᆨ,./ᄏ","ᆨ/ᄀ,ᄁ,ᄏ",ᆨ/ᄁ,"ᆨ,ᆼ/ᄂ","ᆨ/ᄃ,ᄄ,ᄐ",ᆨ/ᄄ,"ᆼ,ᆨ/ᄂ,ᄅ","ᆨ,ᆼ/ᄆ","ᆨ/ᄇ,ᄈ",ᆨ/ᄈ,"ᆨ/ᄉ,ᄊ",ᆨ/ᄊ,"ᆨ/ᄌ,ᄍ",ᆨ/ᄍ,ᆨ/ᄎ,ᆨ/ᄏ,ᆨ/ᄏ,ᆨ/ᄑ,"ㄱ,./ᄋ,ᄀ"
ᆩ,"ᆨ,./ᄏ",ᆨ/ᄁ,ᆨ/ᄁ,ᆼ/ᄂ,ᆨ/ᄄ,ᆨ/ᄄ,ᆼ/ᄂ,ᆼ/ᄆ,ᆨ/ᄈ,ᆨ/ᄈ,ᆨ/ᄊ,ᆨ/ᄊ,ᆨ/ᄍ,ᆨ/ᄍ,ᆨ/ᄎ,ᆨ/ᄏ,ᆨ/ᄐ,ᆨ/ᄑ,"ᆨ,./ᄋ,ᄁ"
ᆪ,"ᆨ,./ᄏ",ᆨ/ᄁ,ᆨ/ᄁ,ᆼ/ᄂ,ᆨ/ᄄ,ᆨ/ᄄ,ᆼ/ᄂ,ᆼ/ᄆ,ᆨ/ᄈ,ᆨ/ᄈ,ᆨ/ᄊ,ᆨ/ᄊ,ᆨ/ᄍ,ᆨ/ᄍ,ᆨ/ᄎ,ᆨ/ᄏ,ᆨ/ᄐ,ᆨ/ᄑ,"ᆨ/ᄉ,ᄊ"
ᆫ,"ᆫ,./ᄂ","ᆫ,./ᄀ","ᆫ,./ᄁ",ᆫ/ᄂ,ᆫ/ᄃ,ᆫ/ᄄ,ᆯ/ᄅ,ᆫ/ᄆ,ᆫ/ᄇ,ᆫ/ᄈ,ᆫ/ᄉ,ᆫ/ᄉ,ᆫ/ᄌ,ᆫ/ᄍ,ᆫ/ᄎ,"ᆫ,ᆼ/ᄏ",ᆫ/ᄐ,"ᆫ,ᆷ/ᄑ",./ᄂ
ᆬ,ᆫ/ᄎ,ᆫ/ᄀ,ᆫ/ᄁ,ᆫ/ᄂ,ᆫ/ᄃ,ᆫ/ᄄ,ᆯ/ᄅ,ᆫ/ᄆ,ᆫ/ᄇ,ᆫ/ᄈ,ᆫ/ᄉ,ᆫ/ᄊ,ᆫ/ᄌ,ᆫ/ᄍ,ᆫ/ᄎ,ᆫ/ᄏ,ᆫ/ᄐ,ᆫ/ᄑ,ᆫ/ᄌ
ᆭ,ᆫ/ᄒ,ᆫ/ᄏ,ᆫ/ᄁ,ᆫ/ᄂ,ᆫ/ᄐ,ᆫ/ᄄ,ᆯ/ᄅ,ᆫ/ᄆ,ᆫ/ᄇ,ᆫ/ᄈ,ᆫ/ᄊ,ᆫ/ᄊ,ᆫ/ᄎ,ᆫ/ᄍ,ᆫ/ᄎ,ᆫ/ᄏ,ᆫ/ᄐ,ᆫ/ᄑ,./ᄂ
ᆮ,./ᄐ,ᆮ/ᄁ,ᆮ/ᄁ,ᆫ/ᄂ,ᆮ/ᄄ,ᆮ/ᄄ,ᆫ/ᄂ,ᆫ/ᄆ,ᆮ/ᄈ,ᆮ/ᄈ,ᆮ/ᄊ,ᆮ/ᄊ,ᆮ/ᄍ,ᆮ/ᄍ,ᆮ/ᄎ,ᆮ/ᄏ,ᆮ/ᄐ,ᆮ/ᄑ,"ᆮ,./ᄃ,ᄌ"
ᆯ,"ᆯ,./ᄒ,ᄅ",ᆯ/ᄀ,ᆯ/ᄁ,ᆯ/ᄅ,"ᆯ/ᄃ,ᄄ",ᆯ/ᄄ,ᆯ/ᄅ,ᆯ/ᄆ,ᆯ/ᄇ,ᆯ/ᄈ,ᆯ/ᄉ,ᆯ/ᄊ,"ᆯ/ᄌ,ᄍ",ᆯ/ᄍ,ᆯ/ᄎ,ᆯ/ᄏ,ᆯ/ᄐ,ᆯ/ᄑ,"ᆯ,./ᄅ,ᄋ"
ᆰ,ᆯ/ᄏ,ᆨ/ᄁ,ᆨ/ᄁ,ᆼ/ᄂ,ᆨ/ᄄ,ᆨ/ᄄ,ᆼ/ᄂ,ᆼ/ᄆ,ᆨ/ᄈ,ᆨ/ᄈ,ᆨ/ᄊ,ᆨ/ᄊ,ᆨ/ᄌ,ᆨ/ᄍ,ᆨ/ᄎ,ᆯ/ᄏ,ᆨ/ᄑ,ᆯ/ᄑ,"ᆯ,./ᄀ,ᄋ"
